"","Subject","LAYING","SITTING","STANDING","WALKING","WALKING_DOWNSTAIRS","WALKING_UPSTAIRS"
"tBodyAcc-mean()-X",2,0.276426586440678,0.247164790395833,0.27761534806383,0.27708735173913,0.277911472222222,0.281373403958333
"tBodyAcc-mean()-Y",2,-0.0185949199145763,-0.0214121132045833,-0.0226614158361702,-0.0156879937282609,-0.0184208270166667,-0.0181587397583333
"tBodyAcc-mean()-Z",2,-0.105500357966102,-0.152513899520833,-0.116812942382979,-0.109218272456522,-0.105908536055556,-0.107245610416667
"tGravityAcc-mean()-X",2,0.91301733338983,0.790717418541667,0.861831345531915,0.940477273043478,0.896928566851852,-0.509754238125
"tGravityAcc-mean()-Y",2,-0.34660709,-0.416214890416667,-0.325780100638298,-0.105630024498783,-0.370062696851852,0.752536639375
"tGravityAcc-mean()-Z",2,0.0847270871186441,-0.195888238891667,-0.0438890162723404,0.19872676876087,0.129747161222222,0.646834879583333
"tBodyAccJerk-mean()-X",2,0.0618080696279661,0.0744507839572917,0.110040615569574,0.0722564387173913,0.0747588597592593,0.0825972511666667
"tBodyAccJerk-mean()-Y",2,0.0182492679288136,-0.00970985514333333,-0.00327959081489362,0.0116954511323913,0.0103291774794444,0.012254788451875
"tBodyAccJerk-mean()-Z",2,0.00789533706610169,0.01948143925,-0.0209351677765957,0.00760546929869565,-0.00837158846722222,-0.00180264895625
"tBodyGyro-mean()-X",2,-0.0530258157347458,-0.0576912634583333,-0.11594735287234,-0.0454706620434783,-0.0238623875712963,-0.01847660675
"tBodyGyro-mean()-Y",2,-0.0482382316949153,-0.0320883097395833,-0.00482329231914894,-0.0599286797043478,-0.0820396577592593,-0.111800824583333
"tBodyGyro-mean()-Z",2,0.0828336633220339,0.0688374021666667,0.097173808906383,0.0412277462173913,0.0878351695481481,0.144882846104167
"tBodyGyroJerk-mean()-X",2,-0.0818833429152542,-0.0828858001333333,-0.0581038498510638,-0.0936328412826087,-0.105562157888889,-0.101974134208333
"tBodyGyroJerk-mean()-Y",2,-0.0538299449067797,-0.0424053708458333,-0.0421470257531915,-0.0415602029130435,-0.042241953537037,-0.0358590176083333
"tBodyGyroJerk-mean()-Z",2,-0.0514939156830508,-0.0445157481625,-0.0710229816893617,-0.04358509665,-0.0546539479425926,-0.0701783020833333
"tBodyAccMag-mean()",2,-0.290407593728814,-0.107322679520833,0.0899511204978723,-0.967893623913043,-0.965875181296296,-0.977435485208333
"tGravityAccMag-mean()",2,-0.290407593728814,-0.107322679520833,0.0899511204978723,-0.967893623913043,-0.965875181296296,-0.977435485208333
"tBodyAccJerkMag-mean()",2,-0.281424153881356,-0.321268911041667,0.00565516335106383,-0.986774713043478,-0.980489077407407,-0.987741696041667
"tBodyGyroMag-mean()",2,-0.446549092881356,-0.219713472958333,-0.162188586930426,-0.946035087173913,-0.963466341851852,-0.950011569583333
"tBodyGyroJerkMag-mean()",2,-0.547911950338983,-0.572816438541667,-0.410872671489362,-0.991081493913043,-0.983951904259259,-0.991767074166667
"fBodyAcc-mean()-X",2,-0.346048161016949,-0.266720933270833,0.112841160325532,-0.985803840652174,-0.983946739814815,-0.976725059791667
"fBodyAcc-mean()-Y",2,-0.0219048103322034,0.00992445881854167,0.278345041765957,-0.957343498478261,-0.959871697407407,-0.979800877916667
"fBodyAcc-mean()-Z",2,-0.453806369830508,-0.281001986202083,-0.131290772,-0.970162172608696,-0.962471195740741,-0.984380981875
"fBodyAcc-meanFreq()-X",2,-0.14579548970339,-0.281748011416667,-0.273711609659574,0.08519282071,0.108519182924074,-0.146482792591667
"fBodyAcc-meanFreq()-Y",2,0.198586466508475,-0.0618894458958333,0.0119309606468085,0.150193956163043,0.0623378066683333,0.2572894655
"fBodyAcc-meanFreq()-Z",2,0.0688995208186441,-0.236589092316958,0.0903678546504255,0.0960646759586957,0.104462499601852,0.402532553395833
"fBodyAccJerk-mean()-X",2,-0.304615322881356,-0.258639439729167,0.138120681087234,-0.987848793695652,-0.980973241666667,-0.985813630833333
"fBodyAccJerk-mean()-Y",2,-0.0787640836610169,-0.1878421317125,0.0962091607617021,-0.977139702826087,-0.970851337962963,-0.982768250416667
"fBodyAccJerk-mean()-Z",2,-0.554956709661017,-0.522728063333333,-0.271498721106383,-0.985129050217391,-0.979775152037037,-0.986197134583333
"fBodyAccJerk-meanFreq()-X",2,-0.0727101584479661,-0.0491142923541667,-0.143898149531915,0.305546818084783,0.331449281481482,0.159808328563875
"fBodyAccJerk-meanFreq()-Y",2,-0.263574018186441,-0.287688885375,-0.357514501744681,0.0262448647134783,-0.0569368291814815,0.1212064240125
"fBodyAccJerk-meanFreq()-Z",2,-0.254846438755932,-0.374218484791667,-0.234703932446809,0.0929030630369565,0.0396498183462963,0.190558218145833
"fBodyGyro-mean()-X",2,-0.429713536101695,-0.331643577458333,-0.145775970406383,-0.982621389565217,-0.967037112037037,-0.9864311425
"fBodyGyro-mean()-Y",2,-0.55477211220339,-0.488086123958333,-0.361913824,-0.982100923695652,-0.972576152962963,-0.983321635416667
"fBodyGyro-mean()-Z",2,-0.396659907457627,-0.248601122,-0.0874944736085106,-0.959814822391304,-0.960627696111111,-0.9626718875
"fBodyGyro-meanFreq()-X",2,0.00727967988474576,-0.115324433733333,-0.0375298023191489,0.130523120891304,-0.107416045074074,0.10261131938125
"fBodyGyro-meanFreq()-Y",2,-0.0427009322372881,-0.130357850675,0.0770894557234043,-0.192142737913043,-0.171160370096296,0.04228066839375
"fBodyGyro-meanFreq()-Z",2,0.139752115269492,-0.0773418117291667,0.1367749584,0.0409472348676087,0.000226810610740739,0.0552985986479167
"fBodyAccMag-mean()",2,-0.324289427932203,-0.14531853915625,0.293424826591489,-0.96127374826087,-0.964052166481482,-0.975110196458333
"fBodyAccMag-meanFreq()",2,0.393206208305085,0.107680395229167,0.0938321297617021,0.130934202854348,0.119649963903704,0.2662982125
"fBodyBodyAccJerkMag-mean()",2,-0.169064352813559,-0.189511136902083,0.222247409576596,-0.983874698913043,-0.977065295555556,-0.985374114791667
"fBodyBodyAccJerkMag-meanFreq()",2,0.20750092670339,-0.0119168233583333,0.0188355111404255,0.280062423956522,0.304871865218519,0.3417585745
"fBodyBodyGyroMag-mean()",2,-0.530704814745763,-0.450612184791667,-0.320838543553191,-0.971840596086956,-0.961775904814815,-0.972112972708333
"fBodyBodyGyroMag-meanFreq()",2,0.305283825254237,-0.022752769044375,0.103971241706383,-0.106358909173913,-0.0661266045796296,0.01856447223125
"fBodyBodyGyroJerkMag-mean()",2,-0.583249293389831,-0.60079849625,-0.380175306489362,-0.989861950869565,-0.977849827407407,-0.990248702291667
"fBodyBodyGyroJerkMag-meanFreq()",2,0.126344614439492,0.0467433991041667,-0.0512479640553192,0.1947221493,0.160662823925926,0.264801505395833
"tBodyAcc-std()-X",2,-0.423642838474576,-0.304376406458333,0.0463666814446808,-0.986822279565217,-0.987271889259259,-0.974059464791667
"tBodyAcc-std()-Y",2,-0.0780912533118644,0.108027279889583,0.262881788951064,-0.950704499130435,-0.957304989259259,-0.98027739875
"tBodyAcc-std()-Z",2,-0.425257524915254,-0.112121021220833,-0.10283790806383,-0.95982817173913,-0.949741851296296,-0.984233296875
"tGravityAcc-std()-X",2,-0.972693201355932,-0.934407739791667,-0.940361759574468,-0.979988760869565,-0.986685818703704,-0.959014441458333
"tGravityAcc-std()-Y",2,-0.972116879661017,-0.92376745375,-0.940068525531915,-0.956750273043478,-0.97419442037037,-0.988211865208333
"tGravityAcc-std()-Z",2,-0.972072847627119,-0.878004056875,-0.931438313191489,-0.954415873043478,-0.945927078703704,-0.984230418125
"tBodyAccJerk-std()-X",2,-0.277530462620339,-0.276121886479167,0.147249143238298,-0.988055854130435,-0.981085715555556,-0.98587216875
"tBodyAccJerk-std()-Y",2,-0.0166022362847458,-0.185648954220833,0.126828014557447,-0.977983955434783,-0.97105943962963,-0.98317254125
"tBodyAccJerk-std()-Z",2,-0.586090418983051,-0.5737463525,-0.340122023191489,-0.98751821173913,-0.982841446481482,-0.988442014375
"tBodyGyro-std()-X",2,-0.561550255762712,-0.439253058958333,-0.320789230008511,-0.985742027826087,-0.972998629814815,-0.988275232916667
"tBodyGyro-std()-Y",2,-0.53845366779661,-0.466298336666667,-0.415739144893617,-0.978919526956522,-0.971441996481481,-0.982291608958333
"tBodyGyro-std()-Z",2,-0.481085535084746,-0.163995791679167,-0.279418388042553,-0.959803708695652,-0.964856701851852,-0.960306560416667
"tBodyGyroJerk-std()-X",2,-0.389549831525424,-0.464854363125,-0.243940592553192,-0.989709023043478,-0.979324000740741,-0.993235849166667
"tBodyGyroJerk-std()-Y",2,-0.634140436101695,-0.645491337708333,-0.469396701106383,-0.990889614782609,-0.983447258518519,-0.989567537916667
"tBodyGyroJerk-std()-Z",2,-0.435492677288136,-0.467595961041667,-0.218266318606383,-0.985542325652174,-0.973610118333333,-0.98803582125
"tBodyAccMag-std()",2,-0.422544169322034,-0.205977045295833,0.215586334889362,-0.953081444130435,-0.957874965,-0.972873912916667
"tGravityAccMag-std()",2,-0.422544169322034,-0.205977045295833,0.215586334889362,-0.953081444130435,-0.957874965,-0.972873912916667
"tBodyAccJerkMag-std()",2,-0.164150985127119,-0.21738939458125,0.22961718512766,-0.984475868043478,-0.976675280185185,-0.98551807625
"tBodyGyroMag-std()",2,-0.553019916271186,-0.377532167604167,-0.274844110531915,-0.961313624130435,-0.95394338037037,-0.961164053958333
"tBodyGyroJerkMag-std()",2,-0.557798151355932,-0.597291719166667,-0.343187875404255,-0.989594919565217,-0.977204427777778,-0.989718095208333
"fBodyAcc-std()-X",2,-0.457651383728814,-0.320582414375,0.0161046198595745,-0.98736209,-0.989056469814815,-0.973246482083333
"fBodyAcc-std()-Y",2,-0.16921968620339,0.0848802791083333,0.171973972957447,-0.950073754130435,-0.957908842222222,-0.981025105625
"fBodyAcc-std()-Z",2,-0.455222146440678,-0.09454497643125,-0.162032894287234,-0.956862864130435,-0.946433583518518,-0.984792185
"fBodyAccJerk-std()-X",2,-0.31431306340678,-0.365415441458333,0.0499590624829787,-0.989459107391304,-0.983007923703704,-0.987250255833333
"fBodyAccJerk-std()-Y",2,-0.0153329520084746,-0.243554146666667,0.0808333491276596,-0.980804228478261,-0.973520241111111,-0.984987392916667
"fBodyAccJerk-std()-Z",2,-0.615898188474576,-0.625090981458333,-0.408227423191489,-0.988570804130435,-0.984599905185185,-0.989345368541667
"fBodyGyro-std()-X",2,-0.604053019152542,-0.476358845625,-0.379436674361702,-0.986808501521739,-0.97498812462963,-0.988860685833333
"fBodyGyro-std()-Y",2,-0.533046952542373,-0.459758488958333,-0.458732747446809,-0.977356188695652,-0.97103605037037,-0.981910616458333
"fBodyGyro-std()-Z",2,-0.559856635084746,-0.218072471479167,-0.422987665106383,-0.963522659782609,-0.969754295740741,-0.963174222291667
"fBodyAccMag-std()",2,-0.577105211694915,-0.36672824375,-0.0214787881723404,-0.955575602173913,-0.960519381481482,-0.975121387916667
"fBodyBodyAccJerkMag-std()",2,-0.164091969449153,-0.2604238389625,0.227480732542553,-0.984124185869565,-0.97516046,-0.984568489166667
"fBodyBodyGyroMag-std()",2,-0.651792839661017,-0.438620401875,-0.372576755361702,-0.961385745217391,-0.956788725740741,-0.96109837875
"fBodyBodyGyroJerkMag-std()",2,-0.558104554745763,-0.621820202916667,-0.343698985425532,-0.989632908913043,-0.977754298148148,-0.989492660416667
