"","Subject","LAYING","SITTING","STANDING","WALKING","WALKING_DOWNSTAIRS","WALKING_UPSTAIRS"
"tBodyAcc-mean()-X",13,0.275883130350877,0.258203939581818,0.294907553404255,0.274328499591837,0.277758431052632,0.276716360483871
"tBodyAcc-mean()-Y",13,-0.0185660651947368,-0.0277392253910909,-0.0143723839108511,-0.00587732936326531,-0.0167891993964912,-0.020440454366129
"tBodyAcc-mean()-Z",13,-0.111431456192982,-0.125767265890909,-0.101993941531915,-0.0972465110836735,-0.112124137754386,-0.104331864532258
"tGravityAcc-mean()-X",13,0.910855709298246,0.847634313454545,0.941875619787234,0.92557651244898,0.942695296842105,-0.156852206467742
"tGravityAcc-mean()-Y",13,-0.283658580877193,-0.357404501636364,-0.211555112553191,0.101769752489796,-0.239943146315789,0.656400944354839
"tGravityAcc-mean()-Z",13,-0.131299718666667,-0.207507170584727,-0.0950820341687234,0.0757773858163265,-0.0524856614035088,0.598884988709677
"tBodyAccJerk-mean()-X",13,0.0809590227198246,0.0692442067545455,0.101704538333298,0.0752865881142857,0.0758630962280702,0.0767774832096774
"tBodyAccJerk-mean()-Y",13,0.00308364501403509,-0.00128009758363636,-0.00751868156382979,-0.00112344092891837,0.00762035230350877,0.0183441894580645
"tBodyAccJerk-mean()-Z",13,0.00597249011754386,-0.0254126299290909,-0.0252977670276596,-0.0232397245106122,-0.000704979340543859,-0.00988389709596774
"tBodyGyro-mean()-X",13,-0.0174207634701754,-0.13829376226,-0.122672201757447,-0.0355124856836735,-0.0295492164431579,-0.00973609968045161
"tBodyGyro-mean()-Y",13,-0.0798472502663158,0.00381966911090909,-0.0237205719148936,-0.0902687401836735,-0.0753205243684211,-0.0966250701451613
"tBodyGyro-mean()-Z",13,0.0784205641252632,0.116679563256364,0.111284239655957,0.0823432026610204,0.085471246877193,0.117819614790323
"tBodyGyroJerk-mean()-X",13,-0.0966598593263158,-0.0664817176345455,-0.0647199842553191,-0.095919848877551,-0.0981199986666667,-0.101835573822581
"tBodyGyroJerk-mean()-Y",13,-0.0319849271912281,-0.0453051954036364,-0.0669414080765958,-0.041036688077551,-0.0412872577807018,-0.0417744000370968
"tBodyGyroJerk-mean()-Z",13,-0.0636693233473684,-0.0661653916327273,-0.0512020476,-0.0466121595938776,-0.053926078122807,-0.0648770419677419
"tBodyAccMag-mean()",13,-0.135643867842105,-0.10115350174,-0.0294634299553191,-0.957690563673469,-0.971564243157895,-0.960517768225806
"tGravityAccMag-mean()",13,-0.135643867842105,-0.10115350174,-0.0294634299553191,-0.957690563673469,-0.971564243157895,-0.960517768225806
"tBodyAccJerkMag-mean()",13,-0.133205034736842,-0.456190454,-0.127926051502128,-0.989497838979592,-0.98680002754386,-0.985467853870968
"tBodyGyroMag-mean()",13,-0.218669558421053,-0.237182958116364,-0.102114480531915,-0.951142644081633,-0.95782537245614,-0.944303111935484
"tBodyGyroJerkMag-mean()",13,-0.303508210175439,-0.631964902181818,-0.323552439276596,-0.992604304489796,-0.983637634912281,-0.98544626483871
"fBodyAcc-mean()-X",13,-0.335030121052632,-0.382460736363636,-0.0726602663212766,-0.990135477755102,-0.989425965614035,-0.974716920483871
"fBodyAcc-mean()-Y",13,0.0955150666694737,-0.0636564765818182,-0.0364535247659574,-0.959673916122449,-0.959427618245614,-0.965843757258064
"fBodyAcc-mean()-Z",13,-0.246851507561404,-0.404785239945455,-0.151178724793617,-0.956183063510204,-0.97756730122807,-0.966295582741935
"fBodyAcc-meanFreq()-X",13,-0.231462709105263,-0.480080060363636,-0.385554490319149,-0.00935147348163265,0.0328062514403509,-0.262990626162903
"fBodyAcc-meanFreq()-Y",13,0.0194304158877193,-0.247165637745455,-0.014212010202766,0.0253459476734694,-0.0303584248157895,0.0363424960967742
"fBodyAcc-meanFreq()-Z",13,0.152160966852632,-0.285177288672727,0.120050767521277,0.154652093530612,0.087427326231579,0.0764724259225806
"fBodyAccJerk-mean()-X",13,-0.290460801694737,-0.506212135636364,-0.11485155627234,-0.992678212653061,-0.988198276666667,-0.985199684354839
"fBodyAccJerk-mean()-Y",13,-0.0439195137368421,-0.368996179072727,-0.207812348246809,-0.983914101836735,-0.977752775438597,-0.980375137419355
"fBodyAccJerk-mean()-Z",13,-0.342263716894737,-0.631496434363636,-0.276138039897872,-0.985261204693878,-0.98460855877193,-0.980994601935484
"fBodyAccJerk-meanFreq()-X",13,-0.190905932631579,-0.323344232581818,-0.346608657340426,0.264214260326531,0.237964693460702,0.169895805430645
"fBodyAccJerk-meanFreq()-Y",13,-0.447119510526316,-0.586022409090909,-0.45664123893617,-0.00193284292653061,-0.047896000245614,0.0656536996983871
"fBodyAccJerk-meanFreq()-Z",13,-0.204509715375614,-0.504002904418182,-0.304013848034043,0.0921106028122449,0.106886230594386,0.0584183074479032
"fBodyGyro-mean()-X",13,-0.192856474047368,-0.482113007636364,-0.319677124659574,-0.983218202857143,-0.957154108421053,-0.96946349
"fBodyGyro-mean()-Y",13,-0.256213554508772,-0.492176104727273,-0.133828886725532,-0.982456053877551,-0.97291308,-0.968689729193548
"fBodyGyro-mean()-Z",13,-0.276607954736842,-0.255338945927273,-0.212906662531915,-0.968384415510204,-0.974394378070175,-0.969126880322581
"fBodyGyro-meanFreq()-X",13,-0.0229089170754386,-0.211194498501818,-0.174691860038298,0.100550894587755,-0.25106304754386,-0.101926540451613
