"","Subject","LAYING","SITTING","STANDING","WALKING","WALKING_DOWNSTAIRS","WALKING_UPSTAIRS"
"tBodyAcc-mean()-X",14,0.271959598644068,0.26242106612963,0.293422115555556,0.279990577037037,0.280545613833333,0.233275439803922
"tBodyAcc-mean()-Y",14,-0.0217785380966102,-0.0204388180024074,-0.0200141413657778,-0.00870565463888889,-0.01520781344,-0.0113424652490196
"tBodyAcc-mean()-Z",14,-0.106756369135593,-0.112279688983333,-0.0928330165533333,-0.100401490425926,-0.103817701790667,-0.0868333315509804
"tGravityAcc-mean()-X",14,0.802973961525424,0.688256122222222,0.81629643,0.939038759814815,0.875319569,-0.145483631627451
"tGravityAcc-mean()-Y",14,-0.270314822881356,-0.322680364814815,-0.264254674666667,-0.0364533962277778,-0.226692231166667,0.48539692745098
"tGravityAcc-mean()-Z",14,-0.422495268474576,-0.49508872037037,-0.392555882222222,-0.0945970534814815,-0.338174888666667,0.83656291
"tBodyAccJerk-mean()-X",14,0.0720877913452542,0.0803303022222222,0.0428631626711111,0.0741878844074074,0.0737933748485,0.098140384845098
"tBodyAccJerk-mean()-Y",14,0.024116023559322,-0.0183131159944444,0.0291339421022222,-0.00436185985848148,0.00579566182983333,-0.00831507059607843
"tBodyAccJerk-mean()-Z",14,0.0199723036949153,0.00344199486481481,0.0104952601188889,-0.0105744513096296,-0.00720777760485,-0.0323601505045098
"tBodyGyro-mean()-X",14,-0.00347655062271186,0.0813841685037037,-0.0147079653333333,-0.0440403326851852,-0.0220886526891667,0.00505221181607843
"tBodyGyro-mean()-Y",14,-0.0829682847966102,-0.123499570044444,-0.0945288409066667,-0.0713478280925926,-0.05581088271,-0.153423807745098
"tBodyGyro-mean()-Z",14,0.0513222717627119,-0.0441381886666667,0.0353344537555556,0.0928523607037037,0.07904758875,0.149124058235294
"tBodyGyroJerk-mean()-X",14,-0.110656054802153,-0.128266667862963,-0.108620377713333,-0.0921614578888889,-0.100718458866667,-0.105446637019608
"tBodyGyroJerk-mean()-Y",14,-0.0438969529084746,-0.0207749732407407,-0.0740589810844444,-0.0434577295055556,-0.04500967927,-0.0372677398193922
"tBodyGyroJerk-mean()-Z",14,-0.0388825919508475,-0.0137237620296296,-0.0615978795422222,-0.0520121608148148,-0.0509036177765,-0.0566171868039216
"tBodyAccMag-mean()",14,-0.144404671779661,0.140108204051852,0.185537706866667,-0.944197943703704,-0.943456847333333,-0.905978250196078
"tGravityAccMag-mean()",14,-0.144404671779661,0.140108204051852,0.185537706866667,-0.944197943703704,-0.943456847333333,-0.905978250196078
"tBodyAccJerkMag-mean()",14,-0.377293155084746,-0.28366383592037,0.0353601375466667,-0.976521006111111,-0.972965788166667,-0.972576392941176
"tBodyGyroMag-mean()",14,-0.137208741864407,0.365779419444444,0.166340011842444,-0.942756369259259,-0.943530016833333,-0.904665418431373
"tBodyGyroJerkMag-mean()",14,-0.519895046779661,-0.399921949557407,-0.275120883488889,-0.988317606666667,-0.974873328,-0.975621183137255
