"","Subject","LAYING","SITTING","STANDING","WALKING","WALKING_DOWNSTAIRS","WALKING_UPSTAIRS"
"tBodyAcc-mean()-X",12,0.2771286656,0.272970338653846,0.281521097391304,0.275007224901961,0.277405834918033,0.260113433
"tBodyAcc-mean()-Y",12,-0.015560927606,-0.0263574903403846,-0.018084266865793,-0.0157892988523529,-0.0169002543196721,-0.0175203917146667
"tBodyAcc-mean()-Z",12,-0.10316110632,-0.107339730115385,-0.10955593226087,-0.106307228960784,-0.105526999754098,-0.108160125666667
"tGravityAcc-mean()-X",12,0.9668735148,0.938371473269231,0.949861980652174,0.926228975490196,0.957317821803279,-0.3785920653
"tGravityAcc-mean()-Y",12,-0.1559834498,-0.259144202692308,-0.178702175434783,0.0830509010823529,-0.21886535557377,0.8033788345
"tGravityAcc-mean()-Z",12,-0.03608428788,-0.0702503820961538,-0.0561050624630435,0.0885640696078431,-0.0395382767304918,0.2750431984
"tBodyAccJerk-mean()-X",12,0.045764401482,0.0728660813846154,0.0621500251717391,0.0771277656078431,0.0744631761967213,0.0854295393833333
"tBodyAccJerk-mean()-Y",12,0.0197766948336,-0.00689494886730769,-0.0119289154608696,0.0105990504054902,0.0100480041062295,0.00774408308
"tBodyAccJerk-mean()-Z",12,0.005025870328,0.00906662793461539,0.00485262425869565,-0.0020457599227451,-0.00788131384131148,-0.0043714837772
"tBodyGyro-mean()-X",12,-0.1045136708758,-0.0931234101769231,-0.112531564434783,-0.0424159182941176,-0.0300030427426229,-0.0146546807316667
"tBodyGyro-mean()-Y",12,-0.03442910782,-0.0411314519307692,-0.0427336692521739,-0.0751980398235294,-0.0700083750360656,-0.0835537350333333
"tBodyGyro-mean()-Z",12,0.0999739123004,0.0898022757730769,0.0895434978391304,0.0728462158235294,0.074256819,0.14519184795
"tBodyGyroJerk-mean()-X",12,-0.06223893174,-0.0455638872076923,-0.0264668968652174,-0.0941023489803922,-0.0976380412377049,-0.0990402297166667
"tBodyGyroJerk-mean()-Y",12,-0.049852604592,-0.0335406569057692,-0.0609177195869565,-0.0387477474705882,-0.0409520826508197,-0.0410675310833333
"tBodyGyroJerk-mean()-Z",12,-0.0467338151926,-0.0653167291865385,-0.0653239980021739,-0.0515634091411765,-0.0482863736885246,-0.0678909002816667
